context,moment,screen,apk_path,ios_path,layout,colors,typography,spacing,icons,empty_state,hero,animation,overall,gap_notes,priority,screenshot_apk,screenshot_ios
AUTH,—,Login,apk/app/src/main/java/com/example/momentra/ui/auth/LoginScreen.kt,momentra/momentra/LoginView.swift,2,2,1,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/LoginScreen.png,docs/qa/screenshots/ios-apk-parity/ios/LoginView.png
AUTH,—,Consent Gate,apk/app/src/main/java/com/example/momentra/ui/onboarding/ConsentGateScreen.kt,momentra/momentra/Onboarding/ConsentGateView.swift,0,2,1,1,2,1,2,2,PARTIAL,THIN_IOS: APK 52 vs iOS 27 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/ConsentGateScreen.png,docs/qa/screenshots/ios-apk-parity/ios/ConsentGateView.png
AUTH,—,Cinematic Onboarding,apk/app/src/main/java/com/example/momentra/ui/onboarding/OnboardingScreen.kt,momentra/momentra/Onboarding/OnboardingView.swift,2,0,1,2,2,1,2,2,PARTIAL,"Section overlap 0% (APK 3 composables, iOS 1 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/OnboardingScreen.png,docs/qa/screenshots/ios-apk-parity/ios/OnboardingView.png
AUTH,—,Product Onboarding,apk/app/src/main/java/com/example/momentra/ui/onboarding/ProductOnboardingScreen.kt,momentra/momentra/Onboarding/ProductOnboardingView.swift,1,0,1,2,2,1,1,2,PARTIAL,THIN_IOS: APK 330 vs iOS 194 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/ProductOnboardingScreen.png,docs/qa/screenshots/ios-apk-parity/ios/ProductOnboardingView.png
AUTH,—,App Lock,apk/app/src/main/java/com/example/momentra/ui/security/AppLockGate.kt,momentra/momentra/Account/AppLockGateView.swift,0,2,1,1,2,1,2,2,PARTIAL,THIN_IOS: APK 135 vs iOS 74 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/AppLockGate.png,docs/qa/screenshots/ios-apk-parity/ios/AppLockGateView.png
SHELL,—,App Shell,apk/app/src/main/java/com/example/momentra/ui/shell/AppShellScreen.kt,momentra/momentra/Shell/AppShellView.swift,1,2,1,2,2,2,2,2,PARTIAL,"Section overlap 25% (APK 4 composables, iOS 4 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/AppShellScreen.png,docs/qa/screenshots/ios-apk-parity/ios/AppShellView.png
UNKNOWN,PersonalLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/PersonalLifeEmptyContent.kt,momentra/momentra/Shell/PersonalLifeEmptyView.swift,1,0,1,2,2,1,2,2,PARTIAL,"Section overlap 29% (APK 7 composables, iOS 5 sections).",P3,docs/qa/screenshots/ios-apk-parity/apk/PersonalLifeEmptyContent.png,docs/qa/screenshots/ios-apk-parity/ios/PersonalLifeEmptyView.png
BUSINESS,BusinessLife,Life,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessLifeActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessLifeActiveView.swift,2,2,2,2,2,2,2,2,MATCH,,P3,docs/qa/screenshots/ios-apk-parity/apk/BusinessLifeActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessLifeActiveView.png
BUSINESS,BusinessMemory,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessMemoryActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessMemoryActiveView.swift,1,2,2,2,2,2,2,2,MATCH,THIN_IOS: APK 172 vs iOS 103 lines.,P1,docs/qa/screenshots/ios-apk-parity/apk/BusinessMemoryActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessMemoryActiveView.png
BUSINESS,BusinessMoments,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessMomentsActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessMomentsActiveView.swift,1,2,2,2,1,2,2,2,PARTIAL,THIN_IOS: APK 188 vs iOS 121 lines. SF Symbol fallbacks present on iOS.,P1,docs/qa/screenshots/ios-apk-parity/apk/BusinessMomentsActiveContent.png,docs/qa/screenshots/ios-apk-parity/ios/BusinessMomentsActiveView.png
