Gap ID,Domain,Module / Surface,Root Gap,Gap Type,Severity,Status,Current / Evidence,Required Closure,Exit / Validation Evidence,Audit Areas,Depends On,Execution Order,Execution Wave,Source Basis
SP-001,Shared Platform,API Contracts,OpenAPI vs live router reconciliation,CONTRACT_GAP,P1,OPEN,OpenAPI materially understates mounted routes; contract inventory and runtime are not one authoritative set.,"Reconcile OpenAPI, endpoint inventory, router and service implementation; classify documented-only, undocumented-live, duplicate, deprecated.",All active V1 endpoints have one authoritative contract; zero unknown live routes.,03,,1,Foundation,api_middleware_sql_audit_e6cb162f.plan (1).md
SP-002,Shared Platform,API Standards,Idempotency / OCC / stable errors,CONTRACT_GAP,P0,OPEN,Cross-cutting command guarantees are not proven consistently.,"Enforce Idempotency-Key, optimistic concurrency/version semantics, authorization and stable error shapes across all mutating V1 commands.","Retry, conflict, unauthorized and validation contract suites pass.","03,11,15,16",SP-001,2,Foundation,Business Deployment Closure Pack CL-40; 16-area audit
SP-003,Shared Platform,Identity & Authorization,Service-role + RLS authorization model,AUTH_GAP,P0,OPEN,"RLS exists, but application uses privileged/service-role patterns; product authorization must be proven independently.","Define and enforce application identity/context propagation; negative-test Personal ownership, Group membership/roles and Business company/team/location scope.",Cross-tenant/group/company leakage tests all pass; no client-trusted authorization.,11,SP-002,3,Security,16-area audit Area 11
SP-004,Shared Platform,Governance,RBAC / policy enforcement,AUTH_GAP,P0,OPEN,Governance/role policy data exists but runtime enforcement is not fully proven.,Reconcile frozen role/permission/policy matrices with server-side governance resolver and command authorization.,Every governed action has server-side permission proof and forbidden-path tests.,"11,12",SP-003,4,Security,Group GM0-G03/GM0-G05; audit Area 11
SP-005,Shared Platform,Migrations,Fresh + upgrade migration certification,SCHEMA_GAP,P0,OPEN,Production readiness requires clean install and forward upgrade validation through latest migrations.,"Run migration chain on clean PostgreSQL/Dev Supabase and supported upgrade baseline; validate constraints, indexes, enums, RLS, seeds.",Fresh and upgrade paths complete with schema diff = expected and no ordering failures.,06,SP-003,5,Data Foundation,16-area audit Area 6
SP-006,Shared Platform,Data Ownership,Canonical ownership registry,DATA_GAP,P0,OPEN,Closest-writer/generic persistence exists in some flows; single authoritative owner per durable fact must be enforced.,Freeze durable fact -> canonical table/entity -> writer command ownership; prohibit generic escape writers where first-class fact exists.,Zero durable V1 fact has competing canonical owners or client-side authority.,05,SP-005,6,Data Foundation,Audit Area 5; Business source/decision rules
SP-007,Shared Platform,Table Utilization,200-table classification,DATA_GAP,P1,OPEN,Apparently unused tables include canonical/projection/worker/future/legacy possibilities; no-rest != orphan.,Classify every table CANONICAL/PROJECTION/WORKER/FUTURE/LEGACY/ORPHAN and document expected writer/reader.,Every table classified; orphan deletion candidates separately approved.,07,"SP-005,SP-006",7,Data Foundation,16-area audit Area 7
SP-008,Shared Platform,Events & Workers,Outbox / retry / DLQ / checkpoint chain,WORKER_GAP,P0,OPEN,Post-write worker reliability and recovery are not fully proven for all commands.,Certify command transaction -> outbox -> dispatcher -> worker -> retry/DLQ/checkpoint with idempotent recovery.,Representative failure/retry/recovery tests pass and no committed write is silently lost.,09,"SP-002,SP-005,SP-006",8,Runtime Core,16-area audit Area 9
SP-009,Shared Platform,Projections,Projection generation and persistence,PROJECTION_GAP,P0,OPEN,Projection tables/read models are sometimes bypassed by inline queries; authoritative derivation path is inconsistent.,"For each frozen projection define canonical sources, generator, persistence/cache, version/freshness and API read contract.",Pulse/Life/Memory/Finance read models are reproducible and projection lineage is documented.,08,SP-008,9,Runtime Core,16-area audit Area 8
SP-010,Shared Platform,Refresh,Write -> invalidate -> refetch,REFRESH_GAP,P0,OPEN,Realtime clients are incomplete and authoritative post-write refresh is not universally proven.,Standardize invalidation semantics: canonical write -> event -> projection -> FCM/SSE/cache invalidation -> authoritative refetch.,E2E tests show successful writes reach visible UI without stale authoritative state.,13,"SP-008,SP-009",10,Runtime Core,Audit Area 13; Business Life refresh rule
