family,batch,moment_type,screen_id,screen_name,figma_node,widget_id,widget_name,widget_type,data_behaviour,data_requirement,source_type,api_contract,final_api,canonical,live_route,join_status,notes,closure_theme,implementation_status
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W01,Close Setup,Navigation,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W02,Business Stage,Selector,Canonical/derived mapping with unresolved contract detail,Defines runway context,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W03,Goal Horizon,Selector,Canonical/derived mapping with unresolved contract detail,Planning horizon,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W04,Multi-currency,Toggle,Canonical/derived mapping with unresolved contract detail,Currency handling,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W05,Available Cash,Currency Input,Canonical/derived mapping with unresolved contract detail,Cash baseline for runway math,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,WIRED,Feeds B2 runway_months computation,CL-25,REAL_DATA
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W06,Monthly Spending,Currency Input,Canonical/derived mapping with unresolved contract detail,Burn baseline,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,WIRED,Feeds B2 runway_months computation,CL-25,REAL_DATA
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W07,Revenue Stage,Selector,Canonical/derived mapping with unresolved contract detail,Revenue maturity,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W08,Monthly Revenue,Currency Input,Canonical/derived mapping with unresolved contract detail,Revenue baseline,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences + finance.revenue,POST /v1/moments + businessSetup,WIRED,Prefs + live revenue writes,CL-40,REAL_DATA
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W09,Runway Warning Threshold,Selector,Canonical/derived mapping with unresolved contract detail,Health score target,CANONICAL,BusinessRunway.Configure — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_system_setup.preferences,POST /v1/moments + businessSetup,WIRED,Feeds financial_health_score target,CL-29,REAL_DATA
RUNWAY,B-M2 Business Runway,Business Runway,B-BR01,Business Runway Setup,692:36690,B-BR01-W10,Activate Business Runway,CTA,Canonical write,Activates Runway moment,CANONICAL,BusinessRunway.Activate — HTTP route TBD,POST /v1/moments + businessSetup.BUSINESS_RUNWAY,business.business_moment_context,POST /v1/moments + businessSetup,CLIENT_FIX,Shared create command,CL-25,IMPLEMENTATION REQUIRED
