screen_id,context_variant,figma_node,screenshot_apk,screenshot_ios,screenshot_figma,layout_apk,layout_figma,colors_apk,colors_figma,typography_apk,typography_figma,spacing_apk,spacing_figma,radius_apk,radius_figma,icons_apk,icons_figma,animation_apk,animation_figma,wiring_apk,wiring_figma,properties_notes,overall_apk_vs_ios,overall_figma_vs_ios,apk_vs_figma_conflict,gap_notes,remediation_priority
01_splash,personal,353:6500,docs/qa/screenshots/device-audit/wave1/splash/apk.png,docs/qa/screenshots/device-audit/wave1/splash/ios.png,docs/qa/screenshots/device-audit/wave1/splash/figma.png,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,N/A,iOS fresh-install wordmark capture (117KB); APK use 1.5s delay post-launch for branded overlay,PARTIAL,PARTIAL,NONE,APK early screencap may show OS loader — use delay script,P2
02_login,auth,353:6720,docs/qa/screenshots/device-audit/wave1/login/apk.png,,docs/qa/screenshots/device-audit/wave1/login/figma.png,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,N/A,Sign-in/Register/Phone tabs; Google + email fields present on APK; iOS login PNG removed (no device capture),MATCH,UNVERIFIED,NONE,iOS session persisted — login screen not reachable without in-app sign-out,P2
03_consent_gate,auth,FIGMA_GAP,docs/qa/screenshots/device-audit/wave1/consent_gate/apk.png,docs/qa/screenshots/device-audit/wave1/consent_gate/ios.png,,1,0,2,0,1,0,1,0,2,0,2,0,2,0,2,N/A,APK device-verified: Privacy & consent + Continue on brand canvas; iOS PNG still product onboarding (HID skip did not reach gate),PARTIAL,UNVERIFIED,INTENTIONAL,FIGMA_GAP; iOS ConsentGateView 27 lines vs APK 52; re-capture iOS after manual skip to consent,P1
04_cinematic_onboarding,auth,353:6518,docs/qa/screenshots/device-audit/wave1/cinematic_onboarding/apk.png,docs/qa/screenshots/device-audit/wave1/cinematic_onboarding/ios.png,docs/qa/screenshots/device-audit/wave1/cinematic_onboarding/figma.png,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,N/A,iOS device-verified: Life is already unfolding + Step Inside CTA (fresh-install capture),PARTIAL,PARTIAL,PARTIAL,APK purple cinematic palette diverges from Figma warm tones (matrix colors=0),P2
05_product_onboarding,auth,848:11634,docs/qa/screenshots/device-audit/wave1/product_onboarding/apk.png,docs/qa/screenshots/device-audit/wave1/product_onboarding/ios.png,docs/qa/screenshots/device-audit/wave1/product_onboarding/figma.png,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,N/A,iOS device-verified: YOUR DAILY PULSE carousel slide 1 (fresh-install capture),PARTIAL,PARTIAL,PARTIAL,iOS ProductOnboardingView thinner than APK (194 vs 330 lines),P1
06_app_lock,auth,FIGMA_GAP,docs/qa/screenshots/device-audit/wave1/app_lock/apk.png,docs/qa/screenshots/device-audit/wave1/app_lock/ios.png,,1,0,2,0,1,0,1,0,2,0,2,0,2,0,2,N/A,APK png is Account→App Security PIN setup sheet (123456 entered) not lock gate; gate needs Enable PIN tap + background relaunch,UNVERIFIED,UNVERIFIED,INTENTIONAL,Lock gate PNG pending manual Enable PIN; FIGMA_GAP,P1
07_app_shell_personal,personal,353:317,docs/qa/screenshots/device-audit/wave1/app_shell_personal/apk.png,docs/qa/screenshots/device-audit/wave1/app_shell_personal/ios.png,docs/qa/screenshots/device-audit/wave1/app_shell_personal/figma.png,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,N/A,Full chrome stack: TopBar + Context + Moment + BottomNav; Plus Jakarta on iOS body,PARTIAL,MATCH,PARTIAL,iOS SF chevron on chrome collapse; typography partial on shell labels,P2
08_topbar_personal,personal,763:12256,docs/qa/screenshots/device-audit/wave1/topbar_personal/apk.png,docs/qa/screenshots/device-audit/wave1/topbar_personal/ios.png,docs/qa/screenshots/device-audit/wave1/topbar_personal/figma.png,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,N/A,Logo + 360 + New + Refer + avatar; no QR on Personal,MATCH,MATCH,NONE,Custom ShellRadar/ShellPlus/ShellGift on iOS post-P0,P3
09_topbar_group,group,772:11972,docs/qa/screenshots/device-audit/wave1/topbar_group/apk.png,docs/qa/screenshots/device-audit/wave1/topbar_group/ios.png,docs/qa/screenshots/device-audit/wave1/topbar_group/figma.png,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,N/A,iOS device-verified: Group tab orange + QR/360/New/Refer + Custom Living moment row,PARTIAL,MATCH,NONE,Manual Group tab tap; SF chevron on moment row vs APK vector,P1
10_topbar_business_setup,business_no_company,1522:12255,docs/qa/screenshots/device-audit/wave1/topbar_business_setup/apk.png,docs/qa/screenshots/device-audit/wave1/topbar_business_setup/ios.png,docs/qa/screenshots/device-audit/wave1/topbar_business_setup/figma.png,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,N/A,QR + New + Refer; no company chip; Business tab selected on APK,UNVERIFIED,MATCH,NONE,iOS Business setup topbar not device-verified,P1
