Platform,File,Line,Pattern,Snippet,ParentGap,Surface
iOS,momentra/momentra/Shell/AppShellModel.swift,237,coming_soon,// S6: Circle Coming Soon — empty (not deferred); no Circle API fetch.,SP-013,AppShellModel
iOS,momentra/momentra/Shell/AppShellView.swift,343,coming_soon,".alert(""Referrals coming soon"", isPresented: $showReferComingSoon) {",SP-013,AppShellView
iOS,momentra/momentra/Shell/ShellMeGateway.swift,113,coming_soon,/// S5: Life360 entry is always available as Coming Soon — do not call GET /v1/life360.,SP-013,ShellMeGateway
iOS,momentra/momentra/Shell/BusinessCreateMomentView.swift,323,coming_soon,"Text(""Coming Soon"")",SP-013,BusinessCreateMomentView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalFutureMomentsActiveView.swift,450,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalFutureMomentsActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalLifestyleMomentsActiveView.swift,247,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalLifestyleMomentsActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalRelationshipsMomentsActiveView.swift,244,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalRelationshipsMomentsActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalLifeOpsMomentsActiveView.swift,393,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalLifeOpsMomentsActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalLifeOpsMemoryActiveView.swift,460,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalLifeOpsMemoryActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalRelationshipsPulseActiveView.swift,376,coming_soon,"Text(""Coming Soon"").font(.system(size: 12, weight: .bold)).foregroundStyle(pink)",SP-013,PersonalRelationshipsPulseActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalPulseActiveView.swift,586,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalPulseActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalFinancePickerSheets.swift,284,coming_soon,"Text(""Balance tracking coming soon."")",SP-013,PersonalFinancePickerSheets
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalFutureMemoryActiveView.swift,409,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalFutureMemoryActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalRelationshipsMemoryActiveView.swift,179,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalRelationshipsMemoryActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalLifestyleMemoryActiveView.swift,179,coming_soon,"Text(""Coming Soon"")",SP-013,PersonalLifestyleMemoryActiveView
iOS,momentra/momentra/Shell/PersonalEmpty/PersonalActionRegistry.swift,143,swift_disabled,"tile(.lifeObservationRecord, ""Reflect"", ""book"", ""#6366F1"", ""#4338CA"", enabled: false),",PER-002,Personal action tiles
iOS,momentra/momentra/Shell/GroupEmpty/GroupEmptyComponents.swift,173,coming_soon,"Text(""Coming Soon"")",SP-013,GroupEmptyComponents
iOS,momentra/momentra/Shell/GroupActive/GroupActiveTheme.swift,138,coming_soon,"Text(""Coming Soon"")",SP-013,GroupActiveTheme
iOS,momentra/momentra/Shell/GroupActive/GroupLifeActiveView.swift,107,coming_soon,"honestEmpty(""Sparklines need month-over-month history (coming soon)."")",SP-013,GroupLifeActiveView
iOS,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,86,swift_disabled,"GroupQuickChip(label: ""\(openTasks) tasks"", enabled: false, action: {})",GRP-004,Group Pulse quick tiles
iOS,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,87,swift_disabled,"GroupQuickChip(label: ""\(participantCount) people"", enabled: false, action: {})",GRP-004,Group Pulse quick tiles
iOS,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,88,swift_disabled,"GroupQuickChip(label: ""\(expenseCount) expenses"", enabled: false, action: {})",GRP-004,Group Pulse quick tiles
iOS,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,98,coming_soon,"detail: ""Group health scoring is coming soon — no invented numbers.""",GRP-004,Group Pulse quick tiles
iOS,momentra/momentra/Shell/GroupActive/GroupPulseActiveView.swift,102,coming_soon,"GroupProgressRing(percent: 0, centerLabel: ""—"", centerSub: ""Coming soon"")",GRP-004,Group Pulse quick tiles
iOS,momentra/momentra/Shell/GroupActive/GroupMemoryActiveView.swift,110,coming_soon,"GroupEmptySection(message: ""Insights coming soon"", detail: ""AI memory intelligence for groups is on the roadmap."")",GRP-008,Group Memory
iOS,momentra/momentra/Shell/GroupActive/Experience/ExperienceMemoryActiveView.swift,159,coming_soon,"message: ""Insights coming soon"",",SP-013,ExperienceMemoryActiveView
iOS,momentra/momentra/Shell/GroupActive/Living/LivingMemoryActiveView.swift,162,coming_soon,"message: ""Insights coming soon"",",SP-013,LivingMemoryActiveView
iOS,momentra/momentra/Shell/GroupActive/Wedding/WeddingPulseActiveView.swift,95,coming_soon,"detail: ""Health scoring is coming soon — no invented numbers.""",SP-013,WeddingPulseActiveView
iOS,momentra/momentra/Shell/GroupActive/Wedding/WeddingMemoryActiveView.swift,163,coming_soon,"message: ""Insights coming soon"",",SP-013,WeddingMemoryActiveView
iOS,momentra/momentra/Shell/GroupActive/Purchase/PurchaseMemoryActiveView.swift,162,coming_soon,"message: ""Insights coming soon"",",SP-013,PurchaseMemoryActiveView
iOS,momentra/momentra/Shell/BusinessActive/BusinessQuickAddSheets.swift,117,coming_soon,"Text(""API not wired for this Action Center command yet — Coming soon."")",BUS-001,Business Action Center
iOS,momentra/momentra/Shell/BusinessActive/BusinessQuickAddSheets.swift,117,not_wired,"Text(""API not wired for this Action Center command yet — Coming soon."")",BUS-001,Business Action Center
iOS,momentra/momentra/Shell/BusinessActive/BusinessQuickAddSheets.swift,117,api_not_wired,"Text(""API not wired for this Action Center command yet — Coming soon."")",BUS-001,Business Action Center
iOS,momentra/momentra/Shell/BusinessActive/BusinessQuickAddSheets.swift,120,coming_soon,"Text(""Coming soon"")",BUS-001,Business Action Center
iOS,momentra/momentra/Shell/Components/Life360ComingSoonView.swift,3,coming_soon,/// Figma `1075:7637` Life 360 Coming Soon — static local UI only.,SP-013,Life360ComingSoonView
iOS,momentra/momentra/Shell/Components/Life360ComingSoonView.swift,24,coming_soon,"Text(""COMING SOON"")",SP-013,Life360ComingSoonView
iOS,momentra/momentra/Shell/Circle/CircleComingSoonView.swift,3,coming_soon,/// Figma `1075:7556` Circle Coming Soon — static local UI in Circle context.,SP-013,CircleComingSoonView
