Domain,MomentId,WidgetOrScreen,Capability,WidgetType,Android,iOS,ApiDeclared,Classification,ApiRoute,FigmaNode,Notes,AuditResult,RegisterGapId
PERSONAL,P1,Income,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/income,482:18697,Life Ops money QA; precision finance path,PASS,PER-002
PERSONAL,P1,Recovery,LIFE_OBSERVATION_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/observations,,Life Ops precision V042–V045 typed Recovery detail,PASS,PER-002
PERSONAL,P1,Mood,LIFE_OBSERVATION_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/observations,,Life Ops precision typed Mood detail,PASS,PER-002
PERSONAL,P1,Attention,ATTENTION_CAPTURE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/attention-captures,,Life Ops precision attention-captures (not generic observation),PASS,PER-002
PERSONAL,P1,Transfer,MOVEMENT_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/movements,520:29924,,PASS,PER-002
PERSONAL,P1,Savings,MOVEMENT_RECORD,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/movements,520:30019,,PASS,PER-002
PERSONAL,P1,Adjust,LIFE_OPS_ADJUST,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/life-ops-adjustments,,Life Ops precision life-ops-adjustments,PASS,PER-002
PERSONAL,P1,Reflect,LIFE_OBSERVATION_RECORD,DESIGN_ONLY,N,N,N,DEFERRED,,,Tile present but disabled on both platforms,GAP,PER-002
PERSONAL,P2,Expense,EXPENSE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/expenses,,PX-1 Future precision LIVE (V046); shared expense writer,PASS,PER-002
PERSONAL,P2,Milestone,MILESTONE_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/future-items,,PX-1 future-precision LIVE; kind=MILESTONE; axis refresh from canonical counts,PASS,PER-002
PERSONAL,P2,Opportunity,OPPORTUNITY_CREATE,ACTIONABLE,Y,Y,Y,PASS_CANDIDATE,POST /v1/moments/:id/future-items,,PX-1 future-precision LIVE; enriched opportunityType,PASS,PER-002
