screen_id,wave,context,screen,apk_path,ios_path,apk_sections,ios_sections,section_overlap_pct,container,sticky_cta,sheet_chrome,safe_area,native_layout_score,content_parity_score,priority,remediation,screenshot_ios_before
auth_login,B,AUTH,Login,apk/app/src/main/java/com/example/momentra/ui/auth/LoginScreen.kt,momentra/momentra/LoginView.swift,1,3,0,form,none,n_a,ok,2,2,P3,Maintain Form login pattern,docs/qa/screenshots/ios-native-layout/B/auth_login/before.png
auth_consent_gate,B,AUTH,Consent Gate,apk/app/src/main/java/com/example/momentra/ui/onboarding/ConsentGateScreen.kt,momentra/momentra/Onboarding/ConsentGateView.swift,1,0,0,form,safe_area_inset,n_a,ok,2,2,P1,Maintain Form + safeAreaInset gate pattern,docs/qa/screenshots/device-audit/wave1/consent_gate/ios.png
auth_cinematic_onboarding,B,AUTH,Cinematic Onboarding,apk/app/src/main/java/com/example/momentra/ui/onboarding/OnboardingScreen.kt,momentra/momentra/Onboarding/OnboardingView.swift,3,1,0,scroll_vstack,safe_area_inset,n_a,ok,2,0,P3,Maintain carousel art + safeAreaInset CTAs,docs/qa/screenshots/device-audit/wave1/cinematic_onboarding/ios.png
auth_product_onboarding,B,AUTH,Product Onboarding,apk/app/src/main/java/com/example/momentra/ui/onboarding/ProductOnboardingScreen.kt,momentra/momentra/Onboarding/ProductOnboardingView.swift,2,0,0,scroll_vstack,safe_area_inset,n_a,ok,2,0,P1,Maintain carousel art + safeAreaInset CTAs,docs/qa/screenshots/device-audit/wave1/product_onboarding/ios.png
auth_app_lock,B,AUTH,App Lock,apk/app/src/main/java/com/example/momentra/ui/security/AppLockGate.kt,momentra/momentra/Account/AppLockGateView.swift,1,0,0,form,safe_area_inset,n_a,ok,2,2,P1,Maintain Form + safeAreaInset gate pattern,docs/qa/screenshots/ios-native-layout/B/auth_app_lock/before.png
shell_app_shell,A,SHELL,App Shell,apk/app/src/main/java/com/example/momentra/ui/shell/AppShellScreen.kt,momentra/momentra/Shell/AppShellView.swift,4,5,25,scroll_vstack,safe_area_inset,native,ok,2,0,P3,NavigationStack toolbar + native TabView + safeAreaInset FAB,docs/qa/screenshots/device-audit/wave1/app_shell_personal/ios.png
unknown_life,D,UNKNOWN,Life,apk/app/src/main/java/com/example/momentra/ui/shell/PersonalLifeEmptyContent.kt,momentra/momentra/Shell/PersonalLifeEmptyView.swift,7,5,29,list,none,n_a,ok,1,0,P3,Maintain NativeDashboardScaffold sections; verify sticky CTA,docs/qa/screenshots/ios-native-layout/D/unknown_life/before.png
business_life,D,BUSINESS,Life,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessLifeActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessLifeActiveView.swift,1,0,0,list,toolbar,native,ok,1,2,P3,Maintain NativeDashboardScaffold sections; verify sticky CTA,docs/qa/screenshots/ios-native-layout/D/business_life/before.png
business_memory,C,BUSINESS,Memory,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessMemoryActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessMemoryActiveView.swift,1,0,0,list,none,n_a,ok,1,2,P1,Maintain NativeDashboardScaffold sections; verify sticky CTA,docs/qa/screenshots/ios-native-layout/C/business_memory/before.png
business_moments,C,BUSINESS,Moments,apk/app/src/main/java/com/example/momentra/ui/shell/business/BusinessMomentsActiveContent.kt,momentra/momentra/Shell/BusinessActive/BusinessMomentsActiveView.swift,1,0,0,list,none,n_a,ok,1,2,P1,Maintain NativeDashboardScaffold sections; verify sticky CTA,docs/qa/screenshots/ios-native-layout/C/business_moments/before.png
