family,batch,moment_type,screen_id,screen_name,figma_node,widget_id,widget_name,widget_type,data_behaviour,data_requirement,source_type,api_contract,final_api,canonical,live_route,join_status,notes,closure_theme,implementation_status
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W01,Close Setup,Navigation,Local UI / navigation,No canonical persistence,LOCAL UI,LOCAL_ONLY,N/A,,LOCAL,LOCAL_ONLY,UI-only / navigation,—,N/A
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W02,Operations Name,Text Input,Canonical requirement not fully supported,Defines Operations workspace,CANONICAL / CONTRACT GAP,BusinessOperations.Configure — route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.business_operations_context,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W03,Operations Scope,Selector,Canonical/derived mapping with unresolved contract detail,Defines scope,CANONICAL,BusinessOperations.Configure — HTTP route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.business_operations_context,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W04,Operating Model,Selector,Canonical requirement not fully supported,Defines operating structure,CANONICAL / CONTRACT GAP,BusinessOperations.Configure — route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.business_operations_context,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W05,Operating Review Cadence,Selector,Canonical requirement not fully supported,Defines review frequency,CANONICAL / CONTRACT GAP,BusinessOperations.Configure — route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.business_operations_context,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W06,Country,Selector,Canonical/derived mapping with unresolved contract detail,Primary region,CANONICAL,BusinessOperations.Configure — HTTP route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W07,Currency,Selector,Canonical/derived mapping with unresolved contract detail,Default currency,CANONICAL,BusinessOperations.Configure — HTTP route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W08,Timezone,Selector,Canonical/derived mapping with unresolved contract detail,Timezone,CANONICAL,BusinessOperations.Configure — HTTP route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.company,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W09,Monthly Budget,Currency Input,Canonical/derived mapping with unresolved contract detail,Operating budget,CANONICAL,Finance.Budget.Upsert — HTTP route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,finance.budget,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W10,Allocation Method,Selector,Canonical requirement not fully supported,Budget allocation,CANONICAL / CONTRACT GAP,Finance.Budget.Configure — route TBD,POST /v1/governance/approval-requests; GET/PATCH /v1/governance/approval-requests/{approvalId},finance.budget / governance policy,POST /v1/moments/:id/approval-requests,WIRED,Approval request create live,CL-15,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W11,Allow Over-allocation,Toggle,Canonical requirement not fully supported,Controls over-allocation,CANONICAL / CONTRACT GAP,Finance.Budget.Configure — route TBD,POST /v1/governance/approval-requests; GET/PATCH /v1/governance/approval-requests/{approvalId},finance.budget / governance policy,POST /v1/moments/:id/approval-requests,WIRED,Approval request create live,CL-15,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W12,Vendor Dependency,Risk Selector,Canonical requirement not fully supported,External dependency risk,CANONICAL / CONTRACT GAP,BusinessOperations.Configure — route TBD,GET/POST /v1/companies/{companyId}/vendors; GET/PATCH /v1/vendors/{vendorId}; GET/POST /v1/vendors/{vendorId}/contracts; POST /v1/contracts/{contractId}/slas; POST /v1/slas/{slaId}/checks,business.business_operations_context,PATCH /v1/companies/:id/vendors/:vendorId,WIRED,Vendor PATCH + contracts live,CL-27,IMPLEMENTATION REQUIRED
OPS,B-M4 Business Operations,Business Operations,B-BO01,Business Operations Setup,692:37188,B-BO01-W13,Issue Sensitivity,Risk Selector,Canonical requirement not fully supported,Issue sensitivity,CANONICAL / CONTRACT GAP,BusinessOperations.Configure — route TBD,GET/PATCH /v1/business/moments/{momentId}/operations; POST /v1/business/moments/{momentId}/operations/activate,business.business_operations_context,POST /v1/moments + businessSetup,CLIENT_FIX,Setup prefs allowlist,CL-25,IMPLEMENTATION REQUIRED
